number,season,episode,airdate,title,tvmaze link
94,6,6,17 Jan 16,"The Cook, the Steve, the Gayle, & Her Lover","https://www.tvmaze.com/episodes/500642/bobs-burgers-6x06-the-cook-the-steve-the-gayle-her-lover"
95,6,7,14 Feb 16,"The Gene and Courtney Show","https://www.tvmaze.com/episodes/573773/bobs-burgers-6x07-the-gene-and-courtney-show"
96,6,8,21 Feb 16,"Sexy Dance Healing","https://www.tvmaze.com/episodes/583079/bobs-burgers-6x08-sexy-dance-healing"
97,6,9,06 Mar 16,"Sacred Couch","https://www.tvmaze.com/episodes/583081/bobs-burgers-6x09-sacred-couch"
98,6,10,13 Mar 16,"Lice Things Are Lice","https://www.tvmaze.com/episodes/583080/bobs-burgers-6x10-lice-things-are-lice"
99,6,11,03 Apr 16,"House of 1000 Bounces","https://www.tvmaze.com/episodes/638055/bobs-burgers-6x11-house-of-1000-bounces"
100,6,12,03 Apr 16,"Stand by Gene","https://www.tvmaze.com/episodes/638056/bobs-burgers-6x12-stand-by-gene"
101,6,13,10 Apr 16,"Wag the Hog","https://www.tvmaze.com/episodes/647340/bobs-burgers-6x13-wag-the-hog"
102,6,14,17 Apr 16,"The Hormone-iums","https://www.tvmaze.com/episodes/647341/bobs-burgers-6x14-the-hormone-iums"
103,6,15,24 Apr 16,"Pro Tiki / Con Tiki","https://www.tvmaze.com/episodes/647342/bobs-burgers-6x15-pro-tiki-con-tiki"
104,6,16,08 May 16,"Bye Bye Boo Boo","https://www.tvmaze.com/episodes/647343/bobs-burgers-6x16-bye-bye-boo-boo"
105,6,17,15 May 16,"The Horse Rider-er","https://www.tvmaze.com/episodes/647344/bobs-burgers-6x17-the-horse-rider-er"
106,6,18,22 May 16,"Secret Admiral-irer","https://www.tvmaze.com/episodes/647345/bobs-burgers-6x18-secret-admiral-irer"
107,6,19,22 May 16,"Glued: Where's My Bob","https://www.tvmaze.com/episodes/647346/bobs-burgers-6x19-glued-wheres-my-bob"
108,7,1,25 Sep 16,"Flu-ouise","https://www.tvmaze.com/episodes/835551/bobs-burgers-7x01-flu-ouise"
109,7,2,09 Oct 16,"Sea Me Now","https://www.tvmaze.com/episodes/929913/bobs-burgers-7x02-sea-me-now"
110,7,3,23 Oct 16,"Teen-a-Witch","https://www.tvmaze.com/episodes/929914/bobs-burgers-7x03-teen-a-witch"
111,7,4,06 Nov 16,"They Serve Horses, Don't They?","https://www.tvmaze.com/episodes/929915/bobs-burgers-7x04-they-serve-horses-dont-they"
112,7,5,20 Nov 16,"Large Brother, Where Fart Thou?","https://www.tvmaze.com/episodes/974910/bobs-burgers-7x05-large-brother-where-fart-thou"
113,7,6,20 Nov 16,"The Quirk-ducers","https://www.tvmaze.com/episodes/974911/bobs-burgers-7x06-the-quirk-ducers"
114,7,7,27 Nov 16,"The Last Gingerbread House on the Left","https://www.tvmaze.com/episodes/976869/bobs-burgers-7x07-the-last-gingerbread-house-on-the-left"
115,7,8,08 Jan 17,"Ex MachTina","https://www.tvmaze.com/episodes/1009803/bobs-burgers-7x08-ex-machtina"
116,7,9,12 Feb 17,"Bob Actually","https://www.tvmaze.com/episodes/1036954/bobs-burgers-7x09-bob-actually"
117,7,10,19 Feb 17,"There's No Business Like Mr. Business Business","https://www.tvmaze.com/episodes/1044450/bobs-burgers-7x10-theres-no-business-like-mr-business-business"
118,7,11,05 Mar 17,"A Few 'Gurt Men","https://www.tvmaze.com/episodes/1067418/bobs-burgers-7x11-a-few-gurt-men"
119,7,12,12 Mar 17,"Like Gene for Chocolate","https://www.tvmaze.com/episodes/1075110/bobs-burgers-7x12-like-gene-for-chocolate"
120,7,13,19 Mar 17,"The Grand Mama-Pest Hotel","https://www.tvmaze.com/episodes/1080729/bobs-burgers-7x13-the-grand-mama-pest-hotel"
121,7,14,26 Mar 17,"Aquaticism","https://www.tvmaze.com/episodes/1087372/bobs-burgers-7x14-aquaticism"
122,7,15,26 Mar 17,"Ain't Miss Debatin'","https://www.tvmaze.com/episodes/1087373/bobs-burgers-7x15-aint-miss-debatin"
123,7,16,02 Apr 17,"Eggs for Days","https://www.tvmaze.com/episodes/1096411/bobs-burgers-7x16-eggs-for-days"
