number,season,episode,airdate,title,tvmaze link
63,2,2,21 Mar 01,"A Man's Promise, Luffy and the Whale Vow to Meet Again","https://www.tvmaze.com/episodes/256187/one-piece-2x02-a-mans-promise-luffy-and-the-whale-vow-to-meet-again"
64,2,3,15 Apr 01,"A Pirate-Loving Town? Arrival at Whiskey Peak","https://www.tvmaze.com/episodes/256188/one-piece-2x03-a-pirate-loving-town-arrival-at-whiskey-peak"
65,2,4,15 Apr 01,"Exploding Santouryu! Zoro vs. Baroque Works!","https://www.tvmaze.com/episodes/256189/one-piece-2x04-exploding-santouryu-zoro-vs-baroque-works"
66,2,5,21 Apr 01,"A Serious Fight! Luffy vs. Zoro: The Unexpected Duel!","https://www.tvmaze.com/episodes/256190/one-piece-2x05-a-serious-fight-luffy-vs-zoro-the-unexpected-duel"
67,2,6,29 Apr 01,"Deliver Princess Vivi! Luffy Pirates Depart","https://www.tvmaze.com/episodes/256191/one-piece-2x06-deliver-princess-vivi-luffy-pirates-depart"
68,2,7,13 May 01,"Try Hard, Koby! Diary of Koby-Meppo's Marine Struggles","https://www.tvmaze.com/episodes/256192/one-piece-2x07-try-hard-koby-diary-of-koby-meppos-marine-struggles"
69,2,8,20 May 01,"Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride","https://www.tvmaze.com/episodes/256193/one-piece-2x08-koby-meppos-determination-vice-admiral-garps-fatherly-pride"
70,2,9,27 May 01,"Prehistoric Island! The Shadow Lurking in Little Garden!","https://www.tvmaze.com/episodes/256194/one-piece-2x09-prehistoric-island-the-shadow-lurking-in-little-garden"
71,2,10,03 Jun 01,"Humongous Battle! The Giants Dorry and Brogy!","https://www.tvmaze.com/episodes/256195/one-piece-2x10-humongous-battle-the-giants-dorry-and-brogy"
72,2,11,17 Jun 01,"Luffy's Anger! A Dirty Trick in a Sacred Battle","https://www.tvmaze.com/episodes/256196/one-piece-2x11-luffys-anger-a-dirty-trick-in-a-sacred-battle"
73,2,12,24 Jun 01,"Brogy Wails in Victory! Elbaf's Judgement","https://www.tvmaze.com/episodes/256197/one-piece-2x12-brogy-wails-in-victory-elbafs-judgement"
74,2,13,15 Jul 01,"The Devil's Candle! Tears of Regret and Tears of Anger","https://www.tvmaze.com/episodes/256198/one-piece-2x13-the-devils-candle-tears-of-regret-and-tears-of-anger"
75,2,14,12 Aug 01,"Luffy Attacked by Magic! Colors Trap","https://www.tvmaze.com/episodes/256199/one-piece-2x14-luffy-attacked-by-magic-colors-trap"
76,2,15,19 Aug 01,"Critical Counterattack! Usopp's Quick Wit and Kaenboshi!","https://www.tvmaze.com/episodes/256200/one-piece-2x15-critical-counterattack-usopps-quick-wit-and-kaenboshi"
77,2,16,19 Aug 01,"Farewell to the Giants' Island! On to Alabasta","https://www.tvmaze.com/episodes/256201/one-piece-2x16-farewell-to-the-giants-island-on-to-alabasta"
78,2,17,26 Aug 01,"Nami is Sick? Beyond the Snow that Falls on the Ocean!","https://www.tvmaze.com/episodes/256202/one-piece-2x17-nami-is-sick-beyond-the-snow-that-falls-on-the-ocean"
79,2,18,02 Sep 01,"Ambush! The Bliking and Wapol the Tin-man","https://www.tvmaze.com/episodes/256203/one-piece-2x18-ambush-the-bliking-and-wapol-the-tin-man"
80,2,19,09 Sep 01,"A Doctorless Island? Adventure in the Country Without a Name!","https://www.tvmaze.com/episodes/256204/one-piece-2x19-a-doctorless-island-adventure-in-the-country-without-a-name"
81,2,20,16 Sep 01,"Ya Happy? The Doctor who is Called a Witch!","https://www.tvmaze.com/episodes/256205/one-piece-2x20-ya-happy-the-doctor-who-is-called-a-witch"
82,2,21,07 Oct 01,"Dalton's Resolve! Wapol's Forces Land","https://www.tvmaze.com/episodes/256206/one-piece-2x21-daltons-resolve-wapols-forces-land"
83,2,22,07 Oct 01,"Island that Lives in Snow! Ascend The Drum Rockies!","https://www.tvmaze.com/episodes/256207/one-piece-2x22-island-that-lives-in-snow-ascend-the-drum-rockies"
84,2,23,21 Oct 01,"The Blue-Nosed Reindeer! Chopper's Secret","https://www.tvmaze.com/episodes/256208/one-piece-2x23-the-blue-nosed-reindeer-choppers-secret"
85,2,24,28 Oct 01,"Dream of the Outcasts! The Quack Doctor Hiruluk","https://www.tvmaze.com/episodes/256209/one-piece-2x24-dream-of-the-outcasts-the-quack-doctor-hiruluk"
86,2,25,04 Nov 01,"Hiruluk's Cherry Blossoms and Inherited Will","https://www.tvmaze.com/episodes/256210/one-piece-2x25-hiruluks-cherry-blossoms-and-inherited-will"
87,2,26,11 Nov 01,"VS. Wapol's Army Corps! The Abilities of the Baku Baku Fruit!","https://www.tvmaze.com/episodes/256211/one-piece-2x26-vs-wapols-army-corps-the-abilities-of-the-baku-baku-fruit"
88,2,27,18 Nov 01,"Devil's Fruit of the Zoan Family! Chopper's Seven-Level Transformation","https://www.tvmaze.com/episodes/256212/one-piece-2x27-devils-fruit-of-the-zoan-family-choppers-seven-level-transformation"
89,2,28,25 Nov 01,"When the Kingdom's Rule is Over! The Flag of Conviction Lasts Forever","https://www.tvmaze.com/episodes/256213/one-piece-2x28-when-the-kingdoms-rule-is-over-the-flag-of-conviction-lasts-forever"
90,2,29,02 Dec 01,"Hiruluk's Cherry Blossoms! Miracle of the Drum Rockies","https://www.tvmaze.com/episodes/256214/one-piece-2x29-hiruluks-cherry-blossoms-miracle-of-the-drum-rockies"
91,2,30,09 Dec 01,"Farewell, Drum Island! I'm Going Out to Sea!","https://www.tvmaze.com/episodes/256215/one-piece-2x30-farewell-drum-island-im-going-out-to-sea"
92,2,31,09 Dec 01,"The Hero of Alabasta and the Ballerina on Deck","https://www.tvmaze.com/episodes/256216/one-piece-2x31-the-hero-of-alabasta-and-the-ballerina-on-deck"
93,2,32,16 Dec 01,"Coming to the Desert Kingdom! The Rain-Calling Powder and the Rebel Army","https://www.tvmaze.com/episodes/256217/one-piece-2x32-coming-to-the-desert-kingdom-the-rain-calling-powder-and-the-rebel-army"
94,2,33,23 Dec 01,"Reunion of the Powerful! His Name is Fire Fist Ace","https://www.tvmaze.com/episodes/256218/one-piece-2x33-reunion-of-the-powerful-his-name-is-fire-fist-ace"
95,2,34,06 Jan 02,"Ace and Luffy! Warm Memories and Brotherly Bonds","https://www.tvmaze.com/episodes/256219/one-piece-2x34-ace-and-luffy-warm-memories-and-brotherly-bonds"
96,2,35,13 Jan 02,"The Green City, Erumalu and the Kung Fu Dugongs","https://www.tvmaze.com/episodes/256220/one-piece-2x35-the-green-city-erumalu-and-the-kung-fu-dugongs"
